iter	MAE
0	2.347794002
1	2.322572782
2	2.294361591
3	2.269755082
4	2.245136385
5	2.218029182
6	2.192932691
7	2.17104347
8	2.146458112
9	2.122451975
10	2.098874737
11	2.077356517
12	2.056956872
13	2.034384771
14	2.014716828
15	1.994170369
16	1.977706656
17	1.958680932
18	1.941538667
19	1.9243842
20	1.907631562
21	1.891361695
22	1.874483033
23	1.858878434
24	1.844581035
25	1.830848819
26	1.818669726
27	1.806353467
28	1.794142129
29	1.782225582
30	1.773161395
31	1.760731292
32	1.749088944
33	1.738314236
34	1.727278786
35	1.717242863
36	1.70704863
37	1.696675533
38	1.687861588
39	1.678381521
40	1.670870067
41	1.661755725
42	1.652864086
43	1.645044071
44	1.637909542
45	1.630778768
46	1.622815738
47	1.616610974
48	1.609945215
49	1.602484374
50	1.596274008
51	1.589741533
52	1.583339403
53	1.577626572
54	1.571467844
55	1.564921335
56	1.559557288
57	1.553992265
58	1.548453578
59	1.543063451
60	1.539260772
61	1.534992643
62	1.530611353
63	1.525865111
64	1.521611806
65	1.517099831
66	1.512434185
67	1.508463747
68	1.504191398
69	1.500996248
70	1.49740303
71	1.49423996
72	1.490966083
73	1.487234201
74	1.484586437
75	1.481369851
76	1.477622249
77	1.474635637
78	1.471304945
79	1.468660034
80	1.465541556
81	1.463329391
82	1.461197159
83	1.45847916
84	1.455691174
85	1.453537659
86	1.450905467
87	1.447914292
88	1.445043649
89	1.442616906
90	1.440793283
91	1.438419016
92	1.436399129
93	1.434758673
94	1.432345051
95	1.430692001
96	1.428552385
97	1.427194335
98	1.42528664
99	1.423655634
100	1.421756236
101	1.420427202
102	1.418391572
103	1.416082559
104	1.41442913
105	1.412471183
106	1.411263763
107	1.409649077
108	1.408122287
109	1.4070141
110	1.406037026
111	1.404810749
112	1.403196467
113	1.402013344
114	1.400359769
115	1.399978598
116	1.398201148
117	1.396753495
118	1.395795352
119	1.39489525
120	1.393576571
121	1.392555432
122	1.391166424
123	1.389805671
124	1.388591472
125	1.388166266
126	1.387078162
127	1.386386448
128	1.384958147
129	1.384259263
130	1.383348437
131	1.382558945
132	1.381532313
133	1.380836053
134	1.37986429
135	1.379152109
136	1.378665189
137	1.37790012
138	1.376923044
139	1.375888709
140	1.375273242
141	1.374800836
142	1.374000753
143	1.373467895
144	1.372574905
145	1.370768104
146	1.369317489
147	1.367958665
148	1.367145725
149	1.366473939
150	1.365609294
151	1.365053612
152	1.363578323
153	1.362613771
154	1.361791398
155	1.361166133
156	1.360886148
157	1.360070407
158	1.359160509
159	1.357594016
160	1.356677315
161	1.355596484
162	1.354776707
163	1.354451539
164	1.353856624
165	1.353077141
166	1.351585058
167	1.351367169
168	1.350861601
169	1.350404876
170	1.34991132
171	1.349167005
172	1.348050091
173	1.347800867
174	1.347405812
175	1.346337662
176	1.345570207
177	1.345154218
178	1.344276436
179	1.344026888
180	1.342645193
181	1.341769903
182	1.341014753
183	1.33997895
184	1.338886057
185	1.338322721
186	1.337556876
187	1.336833745
188	1.336463758
189	1.335839596
190	1.334760416
191	1.334115924
192	1.333442958
193	1.332742009
194	1.331688838
195	1.331102546
196	1.330205604
197	1.329437074
198	1.328649998
199	1.327877442
200	1.326512371
201	1.325823952
202	1.325236309
203	1.32373216
204	1.322909085
205	1.322096107
206	1.32171289
207	1.320545406
208	1.319439059
209	1.319070955
210	1.31854162
211	1.317551008
212	1.316492724
213	1.31591293
214	1.314303553
215	1.313664146
216	1.313392403
217	1.312869957
218	1.31177355
219	1.311163037
220	1.310480248
221	1.30962001
222	1.3081373
223	1.307409419
224	1.306560092
225	1.305494642
226	1.304705822
227	1.30434541
228	1.303459555
229	1.303160845
230	1.302320354
231	1.301462569
232	1.301065649
233	1.300005612
234	1.299080069
235	1.298346496
236	1.296870778
237	1.296358296
238	1.295505047
239	1.294845281
240	1.293665783
241	1.292828839
242	1.292022939
243	1.291378207
244	1.29071599
245	1.29024025
246	1.288783188
247	1.287936745
248	1.287179543
249	1.286443314
250	1.286062011
251	1.285817872
252	1.285372645
253	1.284892572
254	1.2843553
255	1.283754347
256	1.283274127
257	1.28225689
258	1.28168473
259	1.280554652
260	1.280060434
261	1.279738519
262	1.27882426
263	1.277431273
264	1.27680267
265	1.276202553
266	1.275633329
267	1.275342738
268	1.274315559
269	1.274012806
270	1.273058082
271	1.272513912
272	1.272008762
273	1.271692175
274	1.27126408
275	1.270609323
276	1.269681508
277	1.269127687
278	1.268364373
279	1.267757814
280	1.267046152
281	1.266567266
282	1.265951022
283	1.265162837
284	1.264107533
285	1.263314192
286	1.262759391
287	1.26241753
288	1.262079815
289	1.261318106
290	1.260967031
291	1.260473299
292	1.259051259
293	1.258569597
294	1.257630767
295	1.257036916
296	1.255987092
297	1.25542898
298	1.254611492
299	1.253971335
300	1.253573381
301	1.252849412
302	1.251926254
303	1.251487182
304	1.251115619
305	1.250945015
306	1.250224774
307	1.249841755
308	1.248883723
309	1.248561026
310	1.247296566
311	1.246789569
312	1.246239934
313	1.24580295
314	1.245344142
315	1.24422356
316	1.243907277
317	1.243349134
318	1.242253189
319	1.241784023
320	1.240489009
321	1.240069218
322	1.238838079
323	1.238197224
324	1.237762443
325	1.23737164
326	1.237037205
327	1.23678279
328	1.236025243
329	1.235620016
330	1.23410663
331	1.233695221
332	1.232988631
333	1.232223705
334	1.231719927
335	1.231379474
336	1.230868378
337	1.230269963
338	1.230013551
339	1.229139028
340	1.228392365
