iter	Passed	Remaining
0	67	22908
1	83	14103
2	95	10772
3	107	9052
4	120	8106
5	136	7605
6	148	7104
7	160	6678
8	172	6372
9	183	6077
10	194	5822
11	204	5614
12	216	5457
13	226	5296
14	236	5146
15	247	5019
16	257	4903
17	267	4794
18	279	4733
19	292	4694
20	303	4618
21	313	4546
22	324	4482
23	334	4413
24	345	4365
25	356	4317
26	367	4277
27	379	4238
28	390	4199
29	400	4155
30	403	4031
31	414	4004
32	430	4017
33	441	3987
34	455	3978
35	469	3974
36	484	3981
37	499	3980
38	511	3959
39	526	3958
40	539	3947
41	553	3940
42	567	3932
43	581	3926
44	597	3928
45	609	3909
46	624	3905
47	637	3894
48	654	3902
49	669	3896
50	682	3881
51	694	3859
52	706	3839
53	718	3821
54	733	3811
55	746	3800
56	758	3779
57	771	3762
58	782	3738
59	810	3796
60	841	3861
61	861	3875
62	872	3851
63	885	3832
64	900	3822
65	914	3812
66	927	3792
67	940	3773
68	952	3754
69	963	3730
70	976	3711
71	987	3690
72	999	3670
73	1011	3650
74	1025	3635
75	1036	3612
76	1047	3590
77	1058	3567
78	1069	3545
79	1080	3524
80	1091	3503
81	1102	3481
82	1113	3461
83	1124	3440
84	1134	3417
85	1145	3397
86	1156	3376
87	1168	3358
88	1180	3341
89	1191	3322
90	1201	3300
91	1211	3280
92	1223	3263
93	1234	3243
94	1244	3222
95	1255	3204
96	1266	3186
97	1277	3167
98	1288	3149
99	1299	3131
100	1310	3113
101	1321	3097
102	1332	3078
103	1342	3060
104	1353	3041
105	1363	3022
106	1374	3006
107	1385	2988
108	1396	2971
109	1406	2954
110	1419	2940
111	1434	2933
112	1446	2918
113	1458	2903
114	1469	2887
115	1470	2852
116	1482	2837
117	1494	2823
118	1505	2808
119	1518	2796
120	1529	2781
121	1539	2763
122	1551	2749
123	1562	2734
124	1573	2719
125	1585	2705
126	1596	2689
127	1607	2675
128	1619	2661
129	1630	2645
130	1640	2629
131	1650	2613
132	1661	2598
133	1671	2582
134	1682	2567
135	1694	2553
136	1704	2538
137	1715	2522
138	1726	2509
139	1736	2493
140	1747	2478
141	1757	2463
142	1767	2447
143	1777	2432
144	1788	2417
145	1799	2402
146	1809	2388
147	1821	2374
148	1832	2360
149	1843	2346
150	1853	2332
151	1865	2319
152	1877	2307
153	1890	2295
154	1902	2282
155	1913	2269
156	1927	2258
157	1940	2247
158	1961	2245
159	1977	2236
160	1989	2224
161	2003	2213
162	2016	2201
163	2030	2191
164	2043	2180
165	2055	2166
166	2068	2155
167	2080	2142
168	2092	2129
169	2103	2115
170	2114	2101
171	2124	2087
172	2134	2072
173	2144	2058
174	2155	2044
175	2167	2032
176	2179	2019
177	2190	2005
178	2201	1992
179	2212	1978
180	2224	1966
181	2234	1951
182	2244	1937
183	2254	1923
184	2265	1910
185	2275	1895
186	2284	1881
187	2295	1867
188	2305	1854
189	2316	1841
190	2327	1827
191	2337	1814
192	2348	1800
193	2358	1787
194	2369	1774
195	2380	1760
196	2390	1747
197	2401	1734
198	2412	1721
199	2423	1708
200	2433	1695
201	2444	1681
202	2454	1668
203	2465	1655
204	2487	1650
205	2501	1639
206	2513	1627
207	2524	1614
208	2535	1601
209	2547	1589
210	2557	1575
211	2568	1563
212	2580	1550
213	2590	1537
214	2601	1524
215	2612	1512
216	2623	1499
217	2634	1486
218	2644	1473
219	2655	1460
220	2666	1447
221	2677	1435
222	2688	1422
223	2700	1410
224	2713	1398
225	2724	1386
226	2736	1374
227	2748	1361
228	2759	1349
229	2771	1337
230	2782	1325
231	2793	1312
232	2806	1300
233	2816	1287
234	2828	1275
235	2840	1263
236	2852	1251
237	2864	1239
238	2877	1228
239	2890	1216
240	2904	1205
241	2916	1192
242	2927	1180
243	2938	1168
244	2950	1155
245	2960	1143
246	2971	1130
247	2982	1118
248	2995	1106
249	3019	1099
250	3033	1087
251	3046	1075
252	3057	1063
253	3071	1051
254	3084	1040
255	3097	1028
256	3110	1016
257	3122	1004
258	3137	993
259	3149	981
260	3163	969
261	3176	957
262	3186	945
263	3198	932
264	3211	920
265	3222	908
266	3235	896
267	3247	884
268	3261	873
269	3275	861
270	3286	848
271	3297	836
272	3308	824
273	3319	811
274	3331	799
275	3342	787
276	3354	774
277	3366	762
278	3377	750
279	3388	738
280	3400	726
281	3412	713
282	3422	701
283	3433	689
284	3444	676
285	3453	664
286	3464	651
287	3475	639
288	3486	627
289	3496	614
290	3510	603
291	3521	590
292	3532	578
293	3547	567
294	3559	555
295	3571	542
296	3582	530
297	3592	518
298	3604	506
299	3616	494
300	3628	482
301	3639	470
302	3652	458
303	3663	445
304	3674	433
305	3685	421
306	3695	409
307	3711	397
308	3722	385
309	3733	373
310	3744	361
311	3755	349
312	3765	336
313	3775	324
314	3787	312
315	3798	300
316	3810	288
317	3821	276
318	3832	264
319	3843	252
320	3853	240
321	3863	227
322	3874	215
323	3885	203
324	3895	191
325	3905	179
326	3919	167
327	3930	155
328	3942	143
329	3960	132
330	3973	120
331	3988	108
332	4003	96
333	4016	84
334	4031	72
335	4043	60
336	4060	48
337	4080	36
338	4092	24
339	4104	12
340	4116	0
