Modelo,MAE_CV,MAE_std,RMSE_CV,RMSE_std,R2_CV,MAE_train,Brecha_MAE,Tiempo_s,Fase,Mejores_parametros
CatBoost,1.487028077101955,0.03455361755272434,2.23261238998973,0.16420127049937616,0.5446097902683251,1.1478466959196945,0.3391813811822606,4.881339800020214,Benchmark,
Extra Trees,1.539948253968254,0.025433128994448016,2.2578721069213095,0.1406874425557816,0.5333517249515836,0.38738974053724046,1.1525585134310137,3.8225720999762416,Benchmark,
Random Forest,1.549220702075702,0.02184884683503484,2.2564082357926343,0.13481987815901506,0.5338142824265789,0.6719178886622637,0.8773028134134384,9.043905699974857,Benchmark,
XGBoost,1.5671302556991578,0.03516455429610536,2.283702039718628,0.11622355750296014,0.5223751425743103,0.729423463344574,0.8377067923545838,1.938788699975703,Benchmark,
Huber,1.592470634923521,0.059129671937747805,2.4234910372460057,0.20506725727942737,0.4641380719948051,1.5715314705817163,0.02093916434180465,0.3543694000109099,Benchmark,
LightGBM,1.6083600335493973,0.0493187050890927,2.336504179086158,0.10097296822458665,0.4993955701658567,0.6256100030628713,0.982750030486526,1.1745051000034437,Benchmark,
HistGradientBoosting,1.6264690982393077,0.051901538208795235,2.3646052114427314,0.10714466190715934,0.4880639463834758,0.47447238931648206,1.1519967089228258,1.6919575000065379,Benchmark,
Elastic Net,1.6321155051267797,0.04775888790926494,2.3857431413053,0.19930777126944713,0.48117119792882823,1.613600655973634,0.018514849153145718,0.1770995000260882,Benchmark,
Ridge,1.6347092768938243,0.04388809223999227,2.38849810184757,0.18975304568297227,0.47976251278466575,1.6135940688671329,0.021115208026691423,0.2006841999827884,Benchmark,
Regresión lineal,1.635458906373963,0.04380981337614559,2.3910181061592435,0.18821185241345734,0.47857224053139175,1.6136350572515454,0.021823849122417638,4.276881299971137,Benchmark,
Dummy mediana,2.396153846153846,0.11668163471183866,3.3551250721797983,0.20469601063258136,-0.027423984194700914,2.372275641025641,0.023878205128204932,6.855037399975117,Benchmark,
CatBoost,1.4745350170391889,0.035556697782380214,2.2348874991468572,,0.5438013955241022,1.2036567599634966,0.27087825707569224,107.76096000004327,Ajuste,"{'model__depth': 7, 'model__iterations': 341, 'model__l2_leaf_reg': np.float64(3.738105868191796), 'model__learning_rate': np.float64(0.025575311242654015), 'model__subsample': np.float64(0.848553073033381)}"
Extra Trees,1.4996391630178043,0.035410490852382515,2.2167084765701377,,0.551100551853063,1.2657901710929076,0.23384899192489672,47.34001789998729,Ajuste,"{'model__max_depth': 10, 'model__max_features': 1.0, 'model__min_samples_leaf': 7, 'model__n_estimators': 530}"
Random Forest,1.5109166114216501,0.024454107237531147,2.2235886792786372,,0.5477059671048654,1.1647839915110858,0.3461326199105643,104.98018760001287,Ajuste,"{'model__max_depth': 8, 'model__max_features': 0.6, 'model__min_samples_leaf': 4, 'model__n_estimators': 544}"
XGBoost,1.5193912029266357,0.04232220800960244,2.2370584487915037,,0.5417184114456177,1.2516533136367798,0.26773788928985587,25.70940440002596,Ajuste,"{'model__colsample_bytree': np.float64(0.8703100983459974), 'model__learning_rate': np.float64(0.021302523100141996), 'model__max_depth': 4, 'model__min_child_weight': 2, 'model__n_estimators': 293, 'model__subsample': np.float64(0.9818496824692566)}"
